Gene,p_value,effect_size
LRRC43,0.4086814781330287,0.3118866618435467
LRRC45,0.9598648284999971,0.018875060569677447
LRRC47,0.5625646039574335,0.21786431933006123
LRRC4C,0.3127938823608664,0.3822404505964636
LRRC52-AS1,0.37619539032350013,0.33436686072782384
LRRC56,0.4951137395575421,0.25699420066273715
LRRC66,0.19883621793267903,0.4894927274915809
LRRC71,0.5775442862028466,0.20951428930154162
LRRC72,0.4527177963959421,0.2831349507341994
LRRC73,0.6249495643197077,0.1837637200093477
LRRC75A,0.3866357567166392,0.32701080432920476
LRRC77P,0.02980471176270188,0.8524372071129609
LRRC8A,0.9330988697431721,0.03148775456728039
LRRC8D,0.8617131020283644,0.0653531416039875
LRRC8E,0.7846095678083231,0.10258441884000151
LRRD1,0.6638891659399444,0.1632754506016999
LRRFIP1,0.8473566378092756,0.07222278867335863
LRRFIP1P1,0.5353180041285144,0.23335032202608302
LRRFIP2,0.7682377992514797,0.11061552457816991
LRRIQ4,0.02532869796362176,0.879809343057103
LRRK1,0.3444972127227167,0.35755777922951976
LRRK2,0.7548794687813545,0.11720802130541262
LRRN2,0.38231603764314925,0.33003857827185906
LRRN3,0.7790890393429439,0.10528676728884105
LRRN4CL,0.15236385007754802,0.5473150486561936
LRRTM2,0.30220682955719896,0.39086726705066355
LRSAM1,0.07317512414569913,0.6928249397475216
LRTM2,0.3722657224556094,0.33717000207460035
LRWD1,0.06269792812462943,0.7214921922648899
LSINCT5,0.3220893739205683,0.37483206714400175
LSM1,0.20058821441911578,0.48752978427926585
LSM10,0.7902896582729945,0.09980980506615429
LSM12,0.33924036231610666,0.3615400468452662
LSM14A,0.6476013177376173,0.17177968970963908
LSM14B,0.9217165104590199,0.03686190727806899
LSM2,0.31725235027967147,0.3786683549685638
LSM3,0.8173424976045194,0.08667073894328152
LSM4,0.13975245373896228,0.5654196064546682
LSM6P2,0.9082552175313896,0.043228047933208266
LSM7,0.22728561203882905,0.4591277460350717
LSM8,0.9235268743481762,0.03600664390994318
LSMEM1,0.5881574509307335,0.20366344999456887
LSMEM2,0.4990855477704158,0.2546122265389679
LSP1,0.10127996569848083,0.6304639093516713
LSP1P1,0.34871684386251156,0.3543907875815811
LSP1P3,0.15130499646336426,0.5487875961246381
LSP1P4,0.3148226917591078,0.380610628638111
LSR,0.9980324296470933,0.0009249118687816828
LSS,0.43880899922600014,0.29202388488268916
LTA,0.690527336563721,0.14955212760213074
LTB4R,0.3528315867869133,0.35132719084295283
LTB4R2,0.6882477867394509,0.15071803674564443
LTBP2,0.8741610309879745,0.059415494980506564
LTBP3,0.6696850688804241,0.16027063059024996
LTBP4,0.7729618154776301,0.10829286106781713
LTBR,0.15385590670738777,0.545253945185071
LTF,0.0879431376071274,0.6579218337608703
LTK,0.30011441535494376,0.39259724343005564
LTO1,0.39992184943134934,0.3178323884171156
LTO1P1,0.4836979696758986,0.2639013349131182
LUC7L,0.8141597708939825,0.08821039769229495
LUC7L3,0.3909997696067108,0.32397404585005174
LUCAT1,0.05857461476193066,0.7339329245093307
LUM,0.04331611837135044,0.7879237873501332
LURAP1,0.48697310519438675,0.26191029860270787
LURAP1L-AS1,0.26372749565946296,0.42415625807413065
LVRN,0.5645787493897639,0.21673510440406618
LXN,0.35782812896176464,0.3476389789012336
LY6D,0.21284778267150245,0.47415071316729274
LY6E,0.7468166435220074,0.12120550934028883
LY6E-DT,0.4368422821741884,0.29329445512452706
LY6G5B,0.14399231066525284,0.5591906390697701
LY6G5C,0.6489549101261054,0.17106947503626718
LY6G6C,0.828264304512507,0.08139877528153076
LY6G6D,0.3756170494299155,0.33477820353945836
LY6G6E,0.6832434332207185,0.15328297937613047
LY6H,0.6707436622004666,0.15972298448457647
LY6K,0.644542820417615,0.17338683418721348
LY6L,0.47141237635670963,0.2714400144293404
LY6S,0.522923987492314,0.24053242680277492
LY75,0.7523302234716405,0.11847038118954095
LY75-CD302,0.7523302234716405,0.11847038118954095
LYAR,0.5735370701150004,0.21173723171087286
LYG1,0.589968929257304,0.20267000848277278
LYL1,0.4482785614551056,0.2859539456115117
LYN,0.20724080617588939,0.48019431302724763
LYPD1,0.9570772883352441,0.020187299762764135
LYPD2,0.5042269651934983,0.2515445514991801
LYPD3,0.3093381618747984,0.38503358750537936
LYPD4,0.8714612662922557,0.060701891511788966
LYPD5,0.2582260666708694,0.42919700301099784
LYPD9P,0.23990666732630522,0.4465734680396431
LYPLA1,0.005527391916185886,1.120701652296454
LYPLA1P3,0.8116939389299282,0.08940433215951483
LYPLA2,0.4019109036726315,0.3164751140203841
LYRM4,0.7146391476064446,0.13730959500491302
LYRM4-AS1,0.5591161822025462,0.21980245141592206
LYRM7,0.35720555117072483,0.3480966579549839
LYSMD4,0.7581672324150336,0.11558201333860882
LYZ,0.27209364429170774,0.4166354238371274
LZIC,0.24322564943280503,0.4433541995246468
LZTR1,0.5774996373402361,0.20953901514925574
LZTS2,0.4357993833672078,0.29396961725799187
LZTS3,0.5112489740796002,0.24738280584564426
M1AP,0.0006108896331618951,1.4410477872003984
MAB21L1,0.7378769540884668,0.12565476391865824
MAB21L2,0.7495892371699788,0.1198292672588181
MAB21L3,0.014706549137881652,0.9686446100875585
MAB21L4,0.7236321083402795,0.1327833103741561
MACC1-AS1,0.3637216390631838,0.34333240021720973
MACF1,0.09818504607702107,0.6365504898508613
MACROD1,0.6015055820286255,0.19637746750964785
MACROH2A1,0.35202534764953053,0.35192557808649433
MAD1L1,0.31625762238933747,0.3794622910850508
MAD2L1BP,0.42444361895610394,0.3013860700938454
MAD2L1P1,0.28386699678307303,0.4063295692662789
MAD2L2,0.40294975257939614,0.3157679252822655
MADCAM1,0.6309691624928229,0.18056033033417998
MADCAM1-AS1,0.10661335117877078,0.620332619028131
MADD,0.4843152955039809,0.2635254585897211
MAEA,0.26989283342103426,0.4185974204410338
