Triplet_ID,Gene_Ensembl_ID,Gene_Symbol,miRNA_Name,Sample_Size,B12_Variable_Used,Target_log2FC,Target_Direction,miRNA_log2FC,miRNA_Direction,Methylation_Direction,Methylation_Value,Path_a,Path_a_pvalue,Path_b,Path_b_pvalue,Path_c,Path_c_prime,ACME,Total_Effect,Proportion_Mediated,R2_Mediator,R2_Outcome,Path_a_Significant,Path_b_Significant,Mediation_Significant
LHX8_hsa-miR-548x-3p_18963,ENSG00000162624,LHX8,hsa-miR-548x-3p,50,B12_numeric,29.91083438,Up-regulated,4.15088442,Up-regulated,Hypomethylated,-0.515227874,-0.0015350767619247295,0.486974221079187,-0.005737181528297046,0.4740905408971452,-0.00020007690572427709,-0.00020888391976727928,8.8070140430326e-06,-0.00020007690572427709,-0.04401814397894283,0.018012638950899107,0.08084830653410002,False,False,False
LHX8_hsa-miR-548x-3p_18964,ENSG00000162624,LHX8,hsa-miR-548x-3p,50,B12_numeric,29.91083438,Up-regulated,4.15088442,Up-regulated,Hypomethylated,-1.404394964,-0.0015350767619247295,0.486974221079187,-0.005737181528297046,0.4740905408971452,-0.00020007690572427709,-0.00020888391976727928,8.8070140430326e-06,-0.00020007690572427709,-0.04401814397894283,0.018012638950899107,0.08084830653410002,False,False,False
LHX8_hsa-miR-1-3p_18962,ENSG00000162624,LHX8,hsa-miR-1-3p,50,B12_numeric,29.91083438,Up-regulated,0.58894478,Up-regulated,Hypomethylated,-0.438134154,-1.2404818145842562,0.02829896458024317,-4.333698580353878e-05,0.1555497967849404,-0.00020007690572427709,-0.00025383564851246145,5.375874278818594e-05,-0.00020007690572427709,-0.2686903947938401,0.09844759931181646,0.10769265562977426,True,False,False
LHX8_hsa-miR-1-3p_18963,ENSG00000162624,LHX8,hsa-miR-1-3p,50,B12_numeric,29.91083438,Up-regulated,0.58894478,Up-regulated,Hypomethylated,-0.515227874,-1.2404818145842562,0.02829896458024317,-4.333698580353878e-05,0.1555497967849404,-0.00020007690572427709,-0.00025383564851246145,5.375874278818594e-05,-0.00020007690572427709,-0.2686903947938401,0.09844759931181646,0.10769265562977426,True,False,False
LHX8_hsa-miR-1-3p_18964,ENSG00000162624,LHX8,hsa-miR-1-3p,50,B12_numeric,29.91083438,Up-regulated,0.58894478,Up-regulated,Hypomethylated,-1.404394964,-1.2404818145842562,0.02829896458024317,-4.333698580353878e-05,0.1555497967849404,-0.00020007690572427709,-0.00025383564851246145,5.375874278818594e-05,-0.00020007690572427709,-0.2686903947938401,0.09844759931181646,0.10769265562977426,True,False,False
LHX8_hsa-miR-3940-5p_18962,ENSG00000162624,LHX8,hsa-miR-3940-5p,50,B12_numeric,29.91083438,Up-regulated,-1.494997115,Down-regulated,Hypomethylated,-0.438134154,0.0004599945533608313,0.06490969240477229,0.021762615074428462,0.7547050218961393,-0.00020007690572427709,-0.00021008759012540177,1.0010684401125415e-05,-0.00020007690572427709,-0.050034182430434955,0.08978056644347565,0.07224984990937933,False,False,False
LHX8_hsa-miR-3940-5p_18963,ENSG00000162624,LHX8,hsa-miR-3940-5p,50,B12_numeric,29.91083438,Up-regulated,-1.494997115,Down-regulated,Hypomethylated,-0.515227874,0.0004599945533608313,0.06490969240477229,0.021762615074428462,0.7547050218961393,-0.00020007690572427709,-0.00021008759012540177,1.0010684401125415e-05,-0.00020007690572427709,-0.050034182430434955,0.08978056644347565,0.07224984990937933,False,False,False
LHX8_hsa-miR-3940-5p_18964,ENSG00000162624,LHX8,hsa-miR-3940-5p,50,B12_numeric,29.91083438,Up-regulated,-1.494997115,Down-regulated,Hypomethylated,-1.404394964,0.0004599945533608313,0.06490969240477229,0.021762615074428462,0.7547050218961393,-0.00020007690572427709,-0.00021008759012540177,1.0010684401125415e-05,-0.00020007690572427709,-0.050034182430434955,0.08978056644347565,0.07224984990937933,False,False,False
LHX8_hsa-miR-301b-3p_18962,ENSG00000162624,LHX8,hsa-miR-301b-3p,50,B12_numeric,29.91083438,Up-regulated,-0.736874531,Down-regulated,Hypomethylated,-0.438134154,0.002768639196749018,0.02358057029480598,0.002450341387037501,0.8617027909444883,-0.00020007690572427709,-0.00020686101693384522,6.7841112095683814e-06,-0.00020007690572427709,-0.03390751763683041,0.12357463779137745,0.07095090345346411,True,False,False
LHX8_hsa-miR-301b-3p_18963,ENSG00000162624,LHX8,hsa-miR-301b-3p,50,B12_numeric,29.91083438,Up-regulated,-0.736874531,Down-regulated,Hypomethylated,-0.515227874,0.002768639196749018,0.02358057029480598,0.002450341387037501,0.8617027909444883,-0.00020007690572427709,-0.00020686101693384522,6.7841112095683814e-06,-0.00020007690572427709,-0.03390751763683041,0.12357463779137745,0.07095090345346411,True,False,False
