Gene,p_value,effect_size
ABHD16A,0.052120248298436415,0.6708605686896636
ABHD16B,0.37095103453309664,0.4595404813414195
ABHD17A,0.7766531265771661,0.11488418306618889
ABHD17AP1,0.21355772865776912,0.5091676418362129
ABHD17AP3,0.810299496070296,0.05987519082756618
ABHD17AP4,0.12129832212514398,0.6386072908856129
ABHD17AP5,0.5557349624423149,0.2658435986462075
ABHD18,0.9478034802354203,0.11444616756527647
ABHD3,0.13214331982716349,0.6434992594584923
ABHD8,1.0,0.12782900869926872
ABI3,0.3261094520204889,0.37154190734442183
ABITRAM,0.9825901131969854,0.4278241548082367
ABL1,0.8785934392551416,0.03060833404183158
ABL2,0.16920192165920167,0.5107821636370126
ABLIM1,0.12129832212514398,0.5685247515859968
ABLIM2,0.5853789284609614,0.23076488889949204
ABLIM3,0.28494907768465494,0.20340491856687523
ABO,0.4194324996066613,0.17872418747308316
ABR,0.4714517068389269,0.32425825265627434
ABRA,0.0009839011289065715,1.4546830915950515
ABRAXAS2,0.18314652532853137,0.3336797956423091
ABTB1,0.810299496070296,0.2445760384380359
ABTB2,0.3947417052130072,0.2552116387805847
ACACA,0.09290328709689505,0.3300035834038479
ACACB,0.5557349624423149,0.22797827198682596
ACAD10,0.0771336684412056,0.7918545003211352
ACAD8,0.8785934392551416,0.011212237456087973
ACAD9,0.8443001476220315,0.13567989962159754
ACADM,0.6944372271401207,0.18548603896494495
ACADVL,0.28494907768465494,0.27220622142067186
ACAP1,0.9478034802354203,0.054872654925076605
ACAP2,0.21355772865776912,0.166135594425488
ACAP3,0.7434206976952524,0.14942457074661644
ACAT1,0.2657465520914202,0.41918272902158765
ACAT2,0.28494907768465494,0.40590666256391433
ACBD3,0.7106595685403921,0.06767792189972921
ACBD4,0.445008718746736,0.1716324711113197
ACBD7,0.3050688106228865,0.5066663662835906
ACCS,0.8443001476220315,0.0425450828695738
ACCSL,0.3947417052130072,0.14785937888970427
ACCSLP1,0.498738821650313,0.1843824013164265
ACD,0.810299496070296,0.08694203921495909
ACE,0.15606926343164354,0.6638472621268274
ACER1,0.1979251021111571,0.3107040847882541
ACER2,0.7766531265771661,0.007883978243084927
ACER3,0.3947417052130072,0.3165195453126405
ACHE,0.810299496070296,0.09636743310255584
ACIN1,0.9825901131969854,0.12696802524146492
ACKR2,0.3050688106228865,0.34749714488262956
ACKR3,1.0,0.11753686358747818
ACLY,0.4194324996066613,0.3699709304488715
ACO2,0.9478034802354203,0.07302800951850172
ACOT11,0.5268434347302196,0.21884714352699022
ACOT13,0.6467674040054682,0.17116327223445402
ACOT2,0.8443001476220315,0.13105961375225744
ACOT6,0.16920192165920167,0.5320146925113866
ACOT7,0.445008718746736,0.2413761026264483
ACOT8,0.9131160800723744,0.04456062850571432
ACOT9,0.16920192165920167,0.32303277496954547
ACOX1,0.810299496070296,0.170144908498514
ACOX3,0.5557349624423149,0.22369223993266696
ACOXL,0.23006229802639666,0.4420962886620833
ACOXL-AS1,0.445008718746736,0.2076667796901801
ACP1,0.5853789284609614,0.3153971808204171
ACP2,0.05763082091624818,0.8199062074236
ACP5,0.8443001476220315,0.07291637558759474
ACP6,0.5557349624423149,0.3418614641335668
ACP7,0.9825901131969854,0.03207455818671998
ACR,0.13214331982716349,0.45832324069352204
ACRBP,0.0771336684412056,0.6095986335095543
ACRP1,0.7766531265771661,0.09230079944468375
ACSBG1,0.02752429546398351,0.8524249134672637
ACSF2,0.7766531265771661,0.2604011659514064
ACSF3,0.11116230009522643,0.549711888982297
ACSL1,0.8443001476220315,0.0670655821390149
ACSL3,0.9478034802354203,0.052106142567211175
ACSL3P1,0.16920192165920167,0.4027860967441716
ACSL5,0.6467674040054682,0.24588318934002082
ACSL6,0.4714517068389269,0.22431460147258286
ACSM1,0.3480712878701422,0.46038340121519994
ACSM4,0.18314652532853137,0.4325261847087124
ACSM5,0.1437248058279078,0.5088874628310195
ACSS1,0.24745429076477554,0.575073102129658
ACSS2,1.0,0.03790652721320859
ACSS3,0.37095103453309664,0.568555149417043
ACTB,0.7766531265771661,0.13789056558159465
ACTBP12,0.5557349624423149,0.28282278920794063
ACTBP14,0.3480712878701422,0.5372682226845573
ACTBP9,0.5853789284609614,0.26040147612572384
ACTE1P,0.02752429546398351,0.8078669183903303
ACTG1,0.9478034802354203,0.021841679508541538
ACTG1P23,0.3050688106228865,0.3933755581740253
ACTG1P25,0.9825901131969854,0.040506636259801526
ACTL10,0.37095103453309664,0.397755065151955
ACTL11P,0.7106595685403921,0.17145904745607207
ACTL6A,0.0636173544421638,0.6957110009117433
ACTL6B,0.3050688106228865,0.40428898260975515
ACTL7A,0.6784245040488326,0.24743977609709225
ACTL7B,0.5557349624423149,0.13935990956018288
ACTL8,0.16920192165920167,0.5689646415880926
ACTL9,0.3050688106228865,0.45993575368145273
ACTMAP,0.23006229802639666,0.5354099526947895
ACTN1,0.9478034802354203,0.07238341306958955
ACTN1-DT,0.9131160800723744,0.1068613042875262
ACTN2,0.7434206976952524,0.05577445577524621
ACTN4,0.9825901131969854,0.05073087930989077
ACTN4P1,0.23006229802639666,0.5955256903124475
ACTR1A,0.10170693003109327,0.6890230939754988
ACTR1B,0.445008718746736,0.22838471267463842
ACTR2,0.5268434347302196,0.23034045618642313
ACTR3-AS1,0.5853789284609614,0.27592235623220096
ACTR3B,0.0771336684412056,0.620938543489807
ACTR8,0.18314652532853137,0.4526457051788451
ACTRT2,0.16920192165920167,0.6026157627985987
ACVR1,1.0,0.10491491185726141
ACVR1B,0.9478034802354203,0.1003109013260323
ACVR1C,0.3947417052130072,0.36773636294601997
ACVRL1,0.07010858465571475,0.7551434486925973
ACY1,0.9478034802354203,0.05034671198584163
ADA,0.1437248058279078,0.5592876049064146
ADA2,0.5268434347302196,0.26780959793709813
ADAD1,0.24745429076477554,0.32276430331014627
ADAD2,0.11116230009522643,0.7732010600915087
ADAM11,0.24745429076477554,0.5637482748971495
ADAM12,0.498738821650313,0.31588653882561185
ADAM15,0.810299496070296,0.09714590455258833
ADAM17,0.9478034802354203,0.017533686350505912
ADAM1A,0.13214331982716349,0.6581226913853072
ADAM20P3,0.2657465520914202,0.31329171111955556
ADAM24P,0.7106595685403921,0.016939635592744647
ADAM29,0.5268434347302196,0.1633905928632827
ADAM30,0.445008718746736,0.36461401745743166
ADAM32,0.12129832212514398,0.7150968859367713
ADAM33,0.9478034802354203,0.016157324072753658
